"Attr1","Attr2","Attr3","Attr5","Attr6","Attr7","Attr9","Attr10","Attr12","Attr13","Attr15","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr24","Attr25","Attr26","Attr27","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr45","Attr46","Attr47","Attr48","Attr49","Attr51","Attr53","Attr54","Attr55","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
0.0030055,0.82265,-0.046809,-114.66,-0.028901,0.0030055,0.94521,0.14423,0.0075818,0.051587,7164.7,1.2156,0.0030055,0.0036995,50.767,0.78584,0.031181,-0.034146,0.14423,0.050944,0.36279,4.9372,1.0118,0.0036995,168.34,2.1682,0.037903,0.031181,0.90408,0.57047,0.038382,0.2578,0.38591,0.038382,111.16,0.026598,0.59687,47.986,-0.0077225,-0.0095059,0.39641,0.22176,0.87711,-4051.1,0.020838,1.058,2.9552,7.1897,6.0441,178.1,2.0494,1.2491,0
0.056009,0.48351,0.047054,-30.895,0.056009,0.056009,1.0281,0.51649,0.11968,0.037367,1633.1,2.0682,0.056009,0.019367,35.383,0.81258,0.069275,0.056009,0.51649,0.2235,-37.144,4.4619,0.14637,0.019367,60.725,6.0107,0.14328,0.069275,2.9099,0.53201,0.023954,0.13643,0.13101,0.023954,56.945,0.19978,0.50149,36.378,0.017219,0.0059539,0.46799,1.065,1.097,1362.9,0.10844,0.97266,0.030049,10.316,16.928,59.064,6.1797,5.9635,1
0.086872,0.61933,0.02964,1.4603,0.3028,0.086872,1.0386,0.38067,0.21555,0.044432,1600.4,1.6146,0.086872,0.027327,1.5381,0.84129,0.10661,0.3028,0.38067,0.22806,0.3483,3.8848,0.087399,0.027327,48.059,7.5948,0.17214,0.10661,3.1854,0.59697,0.033537,0.85736,0.12648,0.033537,10.004,6.4851,1.0403,1.5974,0.052238,0.016433,0.40303,0.67098,1.0522,227.33,0.22821,0.96287,0.56822,237.31,43.116,46.275,7.8877,5.6033,0
0.0046029,0.52812,0.043685,-18.305,0,0.0066538,1.4128,0.47188,0.043932,0.095398,1430.2,1.8935,0.0066538,0.0047098,26.507,1.1318,0.038914,0.084999,0.12346,0.25132,1.2003,3.6325,0.37381,0.0047098,40.239,9.0707,2.6014,0.038942,1.4128,0.84854,0.027564,0.029221,0.10539,0.027544,49.273,0.044863,0.61101,27.259,-0.089208,-0.063144,0.15146,0.5863,1.0543,187.44,0.0097543,0.99529,0.7982,13.77,16.033,39.13,9.3279,1.7553,0
-0.07748,0.45383,0.054872,-14.144,0,-0.07748,1.4194,0.54617,-0.25386,-0.051413,-2269.9,2.2035,-0.07748,-0.054588,27.492,0.99492,0,0.12525,0.51549,-0.1608,-2.274,4.6892,0.30018,-0.10894,82.518,4.4233,2.9748,0.0010874,1.4194,0.67452,0.00076608,0.093661,3.3571,0,85.246,-0.72473,0.8295,28.904,-0.0045062,-0.0031748,0.30521,0.85351,1.0541,2682.6,-0.14186,0.95201,0.23499,13.276,6.3199,78.487,4.6505,2.218,0
-0.0057739,0.032004,0.18302,95.712,0.061574,-0.003161,0.95668,0.96507,-0.09877,0.078378,402.6,31.246,-0.003161,-0.0085387,82.492,1,-0.011261,0.0879,0.96507,0.82498,-0.29101,4.5482,-0.015455,-0.0085387,30.188,12.091,-0.35186,-0.011261,0.39186,0.96507,-0.030419,1.3359,0.050307,-0.030419,169.85,-0.06901,4.1044,78.919,-0.043438,-0.11734,0.032004,1.2294,1.2294,6466.8,-0.0059828,1.0453,0,4.4247,4.1781,31.555,11.567,0.47161,0
0.085367,0.46383,0.31753,40.13,0,0.085367,1.2541,0.53617,0.22576,0.12164,1109.8,2.156,0.085367,0.068071,33.699,1.3994,0,0.13778,0.53409,0.32889,0,4.6442,0.29565,0.15145,138.02,2.6445,2.1558,0.011317,1.2541,0.56021,0.0090241,0.50468,0.23014,0,146.93,0.7373,1.5335,42.264,-0.067181,-0.05357,0.37813,1.7617,1.8407,13995,0.15922,0.81452,0.044841,10.831,3.2236,110.05,3.3166,4.1207,0
-0.41218,2.3649,-0.2954,-294.87,-1.074,-0.41218,0.3689,-1.3649,-0.76407,-0.79249,-2952.6,0.42285,-0.41218,-1.1173,173.2,0.4609,-0.32108,-1.3289,-1.3759,-0.12362,-3.2967,3.6564,6.4056,-0.894,282.44,1.2923,0.29479,-0.32823,0.3689,0.46034,-0.88976,0.0078817,-0.3917,-0.87037,237.26,-2.3547,0.12792,91.649,-0.44091,-1.1952,0.53945,-1.8055,0.60896,-1339,0.30199,2.0727,-1.3373,2.1074,5.6971,533.75,0.68384,0.48799,0
0.03836,0.38974,0.28534,-8.4639,0.16002,0.051804,2.2331,0.61026,0.17597,0.043525,1463.6,2.5658,0.051804,0.023198,53.953,1.0437,0.056778,0.19875,0.20149,0.21489,6.0695,3.8094,0.16512,0.026701,49.365,7.3939,5.5851,0.056367,2.2331,0.70459,0.025241,0.089548,0.12715,0.025425,90.448,0.11621,0.84799,55.35,0.011385,0.0050981,0.2944,1.4521,1.6766,1839.9,0.062858,0.97685,0.15458,6.7651,10.001,48.119,7.5854,5.3137,0
0.15343,0.41298,0.13754,7.2797,0,0.19018,1.2457,0.58702,0.80436,0.18203,664.78,2.4214,0.19018,0.15267,33.125,1.1639,0.21778,0.45098,0.54003,0.46006,7.8398,4.0533,0.31196,0.17,83.321,4.4125,2.5263,0.20991,1.2457,0.67237,0.16851,0.12126,0.054124,0.17482,101.18,1.3572,1.1036,39.55,0.18121,0.14547,0.23644,0.93771,1.0741,1.5817,0.26137,0.84921,0.1454,11.019,5.3632,69.28,5.2685,1.9899,0
0.071099,0.56588,0.020497,-61.146,0,0.090206,1.3646,0.43412,0.16417,0.12436,1217.1,1.7672,0.090206,0.066102,59.643,1.1759,0.10825,0.22086,0.071883,0.26614,5.7852,5.0896,0.37869,0.0788,157.38,2.3192,2.252,0.090309,1.3646,0.43412,0.066178,0.090167,0.10047,0.079324,139.2,0.31884,0.63148,63.87,0.028747,0.021065,0.54948,1.0095,1.0095,2519.4,0.16378,0.93514,0,6.1197,4.588,146.97,2.4835,3.1734,0
0.10778,0.19844,0.56509,69.887,0.1373,0.11914,1.141,0.78177,0.60039,0.19214,413.33,5.0392,0.11914,0.13063,41.102,1.5477,0.11194,0.18338,0.78177,0.8258,1.4004,5.4893,0.085343,0.13063,90.612,4.0282,0.5641,0.11194,0.9344,0.78177,0.12274,2.2107,0.038825,0.12274,130,1.0494,3.3301,46.896,0.055846,0.061231,0.19844,3.306,3.306,174340,0.13786,0.87645,0,8.8803,4.1059,79.417,4.596,3.857,0
-1.0561,1.3261,-0.96874,-232.88,0.006412,-1.0561,0.91832,-0.32608,-0.7979,-1.0898,-483.65,0.7541,-1.0561,-1.15,60.03,0.56942,-1.0325,-0.64947,-0.92742,-0.75467,-38.381,3.6117,1.4299,-1.1224,262.69,1.3895,1.3869,-0.92076,0.91832,-0.32608,-1.0026,0.03557,-0.045236,-1.1243,122.32,-6.9924,0.15397,29.975,-1.0878,-1.1846,1.3236,-0.50541,-0.50541,-3962.2,3.2387,2.1297,0,6.0803,5.8598,526.07,0.69382,1.4234,0
0.10135,0.51914,-0.049117,-96.303,0,0.12119,1.1333,0.48086,0.3138,0.17039,981.27,1.9263,0.12119,0.10694,75.68,1.062,0.13951,0.16117,0.21275,0.33374,7.1987,3.9227,0.45268,0.12284,123.9,2.9459,2.1915,-0.0044086,1.1333,0.6138,-0.0038901,0.018459,0.08185,0.1231,106.27,0.4313,0.26438,75.387,0.067592,0.059642,0.3862,0.72537,0.92591,-411.09,0.21076,0.90535,0.27646,4.8229,11.933,124.38,2.9345,1.7096,0
0.024553,0.036547,0.63121,162.65,0,0.031361,1.1362,0.96345,0.8581,0.067648,173.55,27.362,0.031361,0.0276,46.82,1.243,0.026906,-0.025658,0.92796,1.9169,1.5322,3.1488,-0.35189,0.0276,12.009,30.394,30.394,0.025449,1.1362,0.96345,0.022398,12.054,0.016824,0.02368,72.992,0.16846,14.283,47.893,-0.018598,-0.016368,0.036547,2.8998,2.8998,889.23,0.025484,0.97256,0,7.7958,13.947,11.74,31.09,3.4199,0
-1.5034,0.90769,-0.050605,-26.722,-0.86512,-1.5034,10.208,0.092308,-1.6563,-0.13181,-246.22,1.1017,-1.5034,-0.14727,20.7,0.78527,-1.1775,-0.73641,-1.4325,-1.4824,-3.6139,1.7681,0.08892,-0.14727,29.1,12.543,12.543,-1.1773,10.208,0.092308,-0.11533,0.22459,-0.029671,-0.11535,23.357,-2.5969,0.30646,18.559,-1.3354,-0.13081,0.90769,0.6459,0.6459,-2.967,-16.287,1.1473,0,17.633,137.36,32.456,11.246,71.428,0
0.20154,0.46868,0.22748,-15.821,0.55613,0.25328,1.1603,0.53128,0.61551,0.14065,597,2.1336,0.25328,0.12432,53.656,1.114,0.28182,0.70121,0.53128,0.50099,1.6051,4.4815,0.20606,0.12432,85.543,4.2669,0.60129,0.28182,2.0417,0.58847,0.13833,0.12775,0.048904,0.13833,105.06,0.67294,0.82501,62.259,0.24855,0.122,0.41149,1.4716,1.63,6894.4,0.37935,0.86182,0.10765,6.8026,7.1006,73.722,4.951,5.6432,0
-0.01158,0.31393,0.21138,-32.864,-0.012156,-0.014028,0.54819,0.68607,-0.078318,0.042741,4890.4,3.1854,-0.014028,-0.025589,149.6,1.1071,-0.0085752,0.007866,0.46859,0.082434,-1.1653,5.4187,0.57266,-0.025589,139.06,2.6509,1.5125,0.078065,0.54819,0.82089,0.14241,0.14629,0.3623,-0.015643,242.55,-0.05154,0.92577,172.72,-0.046033,-0.083973,0.17911,1.1256,1.3468,2.1802,0,0.87511,0.19651,2.4399,3.9265,119.26,3.0606,0.8994,0
0.18157,0.32736,0.38748,45.71,0.51371,0.22563,1.114,0.60417,0.77212,0.14358,394.7,3.0547,0.22563,0.10701,25.917,1.0536,0.23359,0.64326,0.60417,0.79019,1.2342,4.2663,0.14294,0.10701,56.356,6.4767,0.71354,0.23359,2.1457,0.63932,0.11079,0.11375,0.034641,0.11079,111.91,1.2128,1.8137,28.872,0.15648,0.074217,0.29221,1.8863,1.996,7154.1,0.30053,0.89763,0.058174,14.083,4.2444,50.587,7.2153,6.5826,0
0.050139,0.27812,0.21174,-30.842,0.18089,0.062499,1.0156,0.72006,0.22472,0.093988,906.77,3.5956,0.062499,0.052471,90.717,0.61557,0.031319,0.22817,0.72006,0.35809,0.26705,4.7288,0.16233,0.052471,86.558,4.2168,0.11261,0.031319,1.247,0.72006,0.026294,0.34771,0.11321,0.026294,120.48,0.16937,0.69689,92.136,-0.018133,-0.015223,0.27812,1.4115,1.4115,11339,0.069632,0.9846,0,4.0235,12.265,85.225,4.2828,2.3349,0
0.072912,0.42105,0.2009,-357.52,0,0.091119,1.4526,0.57895,0.26825,0.096872,1092.2,2.375,0.091119,0.06273,62.88,1.1696,0.08284,0.3377,0.57672,0.29095,15.697,5.3469,0.28308,0.066363,89.307,4.1258,3.3284,0.064282,1.4526,0.63808,0.044254,0.043649,0.10598,0.05703,132.11,0.29137,0.85474,65.174,0.033245,0.022887,0.33968,1.2602,1.3889,44660,0.12594,0.96844,0.10214,5.8047,5.2723,85.355,4.2763,3.1617,0
0.076997,0.41618,8.8955e-05,-8.1893,0.33902,0.076997,1.04,0.58382,0.23413,0.047585,1448.9,2.4028,0.076997,0.034946,6.5003,1.1771,0.085445,0.33902,0.58382,0.25192,0.40331,4.263,0.14276,0.034946,56.658,6.4421,0.2053,0.085445,2.2288,0.67113,0.03878,0.33464,0.12077,0.03878,36.263,1.9622,0.88095,6.7603,0.057595,0.02614,0.32887,0.87001,1.0001,1.63,0.13189,0.96154,0.14956,56.151,12.264,54.479,6.6998,3.2835,0
0.28285,0.45484,0.10405,-13.079,0.76873,0.35073,1.171,0.46614,0.7711,0.15474,412.34,2.1986,0.35073,0.13479,24.449,1.0085,0.35395,0.95339,0.46614,0.73596,1.593,5.7554,0.12007,0.13479,74.717,4.8851,0.77819,0.35395,2.6143,0.46614,0.13603,0.33201,0.036846,0.13603,57.216,1.6228,0.84556,28.631,0.30206,0.11609,0.45484,1.0567,1.0567,59242,0.6068,0.85394,0,14.929,11.139,63.804,5.7207,5.8987,0
0.0070978,0.6794,0.066142,-30.967,-0.16655,0.0070978,1.4532,0.3206,0.020319,0.025128,6791,1.4719,0.0070978,0.0048842,42.491,1.4868,0.030641,-0.13241,-0.12898,0.053747,1.0209,3.8883,0.43944,0.025539,90.061,4.0528,2.0838,0.037493,1.4532,0.62671,0.0258,0.16325,0.37707,0.021085,90.027,0.041956,0.70505,43.616,0.0012226,0.00084132,0.34931,0.54846,1.0721,511.4,0.022139,0.99527,0.95481,8.5901,7.6784,87.737,4.1602,2.486,0
0.0060674,0.78822,0.18007,-48327,0,0.0060674,5.3858,0.21178,0.0076975,0.00403,13255,1.2687,0.0060674,0.0011265,2.5855,1.2982,-0.0094221,0.06886,0.047711,0.027536,-5.627,3.6951,0.14517,0.0013149,53.354,6.852,6.852,-0.0065052,5.3858,0.21178,-0.0012078,0.019495,4.2274,-0.0017494,64.581,0.15903,1.18,2.5783,-0.025059,-0.0046529,0.78822,6.679,6.679,892.36,0.02865,1.0031,0,141.17,5.8876,53.419,6.8328,169.86,0
0.15014,0.26416,0.1524,-8.0914,0.41795,0.18655,1.1479,0.71008,0.76463,0.17513,389.95,3.7855,0.18655,0.13213,45.455,1.1031,0.18136,0.52398,0.71008,0.7982,1.4745,4.7711,0.13664,0.13213,72.399,5.0415,0.68654,0.18136,1.4302,0.73027,0.12845,0.30376,0.035877,0.12845,83.313,0.85392,0.90399,52.176,0.12064,0.08545,0.24397,1.1763,1.2098,8996.9,0.21144,0.87117,0.028437,8.03,9.6413,63.072,5.787,2.339,0
0.028192,0.95573,0.42135,12.535,-0.16721,0.036272,2.5636,0.044269,0.098403,0.05741,2370.2,1.0463,0.036272,0.014149,47.81,1.1067,0.088676,-0.11387,-0.10533,0.14554,1.6272,3.5406,0.3561,0.026637,54.483,6.6994,2.5838,0.094173,2.5636,0.62167,0.036735,0.12556,0.15962,0.034591,105.88,0.083956,1.2321,49.633,-0.022228,-0.0086707,0.3686,0.21075,2.9597,1463.1,0.63683,0.98609,13.043,7.6344,6.2852,52.481,6.9549,12.205,0
-0.14126,0.77697,-0.05618,-50.295,0,-0.14126,2.5056,0.22283,-0.18181,-0.044605,-2537.4,1.2871,-0.14126,-0.056379,43.332,0.94292,-0.13066,-0.14467,0.19474,-0.14385,-10.425,3.2504,0.30928,-0.051713,107.15,3.4356,3.4356,-0.14127,2.5409,0.22283,-0.056381,0.022119,-0.25601,-0.052148,102.5,-0.4749,0.40497,40.674,-0.16016,-0.063922,0.77697,0.79805,0.79805,-100,-0.63397,1.0506,0,8.4234,6.1693,113.18,3.2249,8.9738,1
0.14707,0.25299,0.69602,131.86,0.21548,0.18342,1.1345,0.53213,0.72498,0.10472,501.09,3.9527,0.18342,0.10422,26.577,0.84045,0.18062,0.27976,0.53213,0.58474,1.1643,4.7621,-0.098547,0.10422,59.528,6.1315,0.71391,0.18062,1.7684,0.53213,0.10263,1.6856,0.045832,0.10263,108.38,1.1477,3.2447,30.15,0.17975,0.10214,0.25299,10.438,10.438,40249,0.27638,0.88147,0,13.734,4.4617,52.473,6.956,34.519,0
0.030909,0.35245,0.43218,19.333,0.61259,0.030909,1.642,0.64755,0.14772,0.037071,2113.4,2.8373,0.030909,0.018824,75.097,0.76069,0.044907,0.24078,0.64349,0.17271,3.1518,3.3915,0.16643,0.02543,47.632,7.663,4.5494,0.038599,1.642,0.79,0.023507,0.4254,0.15692,0.027349,122.79,0.091493,1.4509,76.905,0.014945,0.0091016,0.20924,1.8059,2.2031,1064.4,0.047732,0.98142,0.21998,4.8604,7.6524,46.512,7.8474,4.5791,0
0.11288,0.055507,0.40879,51.855,0,0.11288,0.5382,0.94449,2.4201,0.21059,178.76,18.016,0.11288,0.20975,223.25,1.4304,0,0.20182,0.20969,2.0418,0,3.3225,-0.034548,0.46293,54.828,6.6571,5.5942,0.011249,0.5382,0.94449,0.020901,2.3379,4.0925,0,234.92,0.34293,2.7068,386.93,-0.00045211,-0.00084005,0.046645,1.7344,1.7344,858.97,0.11952,0.5836,0,1.635,31.278,31.634,11.538,0.98831,0
0.19423,0.87119,0.12881,2.9725,-0.072739,0.19423,15.441,0.12881,0.22295,0.012866,1600.6,1.1479,0.19423,0.012579,0,0.9817,0.26859,0.28682,0.12131,0.22804,3.3677,2.2221,0.026742,0.017744,20.379,17.912,17.912,-0.16311,15.88,0.12881,-0.010563,0.52602,0.10636,0.017394,12.805,12.522,0.52602,0,0.26415,0.017107,0.87119,4.2549,3.4764,21.48,1.5079,0.017107,0,17.633,28.503,20.593,17.724,421.18,1
0.15101,0.098084,0.68263,108.67,0.45899,0.1904,1.1591,0.89915,1.9869,0.13448,155.37,10.195,0.1904,0.11112,52.594,1.2595,0.21473,0.57532,0.89915,1.9477,1.4527,4.4833,-0.013634,0.11112,23.662,15.426,2.1893,0.21473,1.7196,0.9014,0.12533,1.2839,0.012658,0.12533,139.62,0.61168,5.5471,60.96,0.17471,0.10197,0.095828,4.0585,4.0687,20771,0.16795,0.86275,0.0025089,6.94,4.194,20.414,17.88,7.7337,0
-0.081546,0.99736,-0.3465,-333.68,-0.61431,-0.081546,0.94552,-0.036281,-0.081761,-0.026796,-14173,1.0026,-0.081546,-0.085072,203.48,1.6523,-0.052422,-0.60664,-0.036281,-0.025753,-0.51709,5.441,1.0374,-0.085072,359.09,1.0165,-0.05256,-0.052422,0.96538,-0.036281,-0.054689,0.0099883,9.5364,-0.054689,244.04,-0.1526,0.11681,192.39,-0.10828,-0.11296,0.99736,-0.10392,-0.10392,-95644,2.2476,1.0576,0,1.7938,8.9971,379.78,0.96109,2.7455,0
0.0059129,0.056723,0.62814,212.04,0.25407,0.011038,1.0346,0.91028,0.19459,0.049575,460.16,17.629,0.011038,0.012162,52.859,1.0564,0.011622,0.28845,0.91028,0.70284,0.13248,3.7692,-0.14403,0.012162,23.601,15.465,0.20488,0.011622,0.91739,0.91028,0.012805,3.3045,0.040918,0.012805,200.05,0.044988,9.7567,54.686,-0.022333,-0.024608,0.056723,2.8885,2.8885,3691.5,0.0064957,0.96659,0,6.9052,2.4798,22.813,16,2.8799,0
0.00616,0.97619,0.39217,-10423,0,0.00616,0.021049,0.023806,0.010134,0.30242,55975,1.0244,0.00616,0.29266,15617,0.14237,0.0063503,0.027592,0.013318,0.0065208,33.267,3.6783,42.423,0.29266,12469,0.029273,0.018227,0.003256,0.021049,0.3588,0.15469,0.13829,4.9635,0.3017,15883,0.0068401,0.16357,18474,0.0061447,0.29193,0.60783,25.654,26.605,1869.6,0.25876,0.74488,14.072,0.023372,1.3697,10540,0.034629,466.68,0
0.04866,0.53375,0.089597,-39.892,0.18472,0.063134,1.0555,0.46625,0.16525,0.082896,1708.8,1.8735,0.063134,0.045904,46.523,1.0458,0.075336,0.23715,0.46625,0.18649,0.57817,5.4345,0.37699,0.045904,107.02,3.4106,0.14114,0.075336,1.402,0.61795,0.054775,0.17875,0.13903,0.054775,107.04,0.27757,0.77567,49.106,0.024459,0.017783,0.38205,0.88246,1.1696,24364,0.10436,0.9474,0.32536,7.8456,6.0309,101.39,3.6,2.6031,0
-0.12603,0.51012,-0.18692,-76.463,0,-0.12603,1.6694,0.48988,-0.24713,-0.058768,-1897.9,1.9603,-0.12603,-0.075492,27.414,0.85498,0,-0.12173,0.46723,-0.19232,0,3.548,0.30459,-0.151,122.41,2.9817,2.9808,0.00061585,1.6694,0.48988,0.00036891,0.012491,0.60903,0,69.239,-1.0051,0.3876,30.098,-0.02792,-0.016725,0.50996,0.72365,0.72365,-660.14,-0.25726,0.91574,0,13.314,8.7269,111.5,3.2735,2.466,0
0.023534,0.86834,-0.079186,-35.693,0.023534,0.028866,1.0292,0.025491,0.033617,0.028655,4470,1.1516,0.028866,0.011665,22.113,0.99449,0.029106,0.028866,0.025491,0.075516,-8.3373,3.6789,0.34275,0.011665,130.36,2.8,0.03352,0.029106,2.5139,0.035158,0.011763,0.029504,0.40126,0.011763,111.24,0.15699,0.7332,22.758,-0.012933,-0.0052265,0.85867,0.1156,0.15944,-378.02,0.92325,0.97163,0.37924,16.506,4.0952,126.66,2.8818,11.221,1
0.023973,0.93954,-0.4373,-7402.2,0,0.023973,5.0388,0.060463,0.026957,0.012179,5588.2,1.0644,0.023973,0.0047575,13.906,0.8084,0.047474,0.097739,0.057254,0.065316,2.0163,3.4936,0.1799,0.0094302,65.169,5.6516,5.3493,0.058111,5.0388,0.11072,0.011533,0.062904,0.36902,0.0094216,28.688,0.12487,0.29238,13.942,0.01008,0.0020004,0.88928,0.11033,0.20203,-1362.7,0.39648,1.0021,0.83118,26.247,24.692,64.417,5.6662,9.1947,0
0.093406,0.29158,0.27483,60.504,0.26871,0.11564,1.1503,0.70824,0.74674,0.18279,570.63,3.4296,0.11564,0.11333,46.197,0.98715,0.13091,0.33322,0.70824,0.56338,1.4757,4.1479,0.21661,0.11333,63.721,5.7281,0.44896,0.13091,1.0259,0.84496,0.1283,0.51059,0.04751,0.1283,125.42,0.72326,1.9407,53.14,0.060042,0.058844,0.15486,1.2419,1.4816,3863.3,0.13189,0.86936,0.19304,7.9009,4.6071,55.397,6.5888,1.7892,0
0.078599,0.43,0.069653,-21.324,0,0.10142,3.0992,0.57,0.2418,0.054526,928.78,2.3256,0.10142,0.032724,27.338,0.98575,0.11839,0.39722,0.52856,0.33993,5.9432,3.6001,0.10652,0.039152,51.171,7.133,6.9575,0.10741,3.0992,0.58058,0.034658,0.26377,0.077076,0.038202,44.571,0.33861,0.61264,28.319,0.050824,0.016399,0.41942,1.1156,1.1363,277.35,0.13789,0.96755,0.018556,13.351,21.18,49.397,7.3891,6.0658,0
