"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr12","Attr13","Attr15","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr23","Attr24","Attr25","Attr26","Attr27","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
0.0030055,0.82265,-0.046809,"0.88192","-114.66",-0.028901,0.0030055,"0.17533",0.94521,0.14423,0.00758179662470674,"0.051587","7164.7","1.2156",0.0030055,"0.0036995","50.767","0.78584",0.031181,0.00317971667671734,"-0.034146",0.14423,"0.050944","0.36279","-0.071969",4.9372,"1.0118","0.0036995","168.34","2.1682","0.037903",0.031181,0.90408,0.57047,0.0329884364321156,"0.2578","0.38591","0.038382","111.16","60.389","0.026598","0.59687","47.986",-0.0077225,-0.00817014208482771,"0.42497",0.39641,"0.46122","0.22176","0.87711",-4051.1,"-0.057967","0.020838","1.058",3.18491298620259,"7.1897","6.0441","178.1",2.38442521631644,"1.2491",0
0.056009,0.48351,0.047054,"1.1005","-30.895",0.056009,0.056009,"1.0682",1.0281,0.51649,0.119679907690335,"0.037367","1633.1","2.0682",0.056009,"0.019367","35.383","0.81258",0.069275,0.0544781636027624,"0.056009",0.51649,"0.2235","?","0.097027",4.4619,"0.14637","0.019367","60.725","6.0107","0.14328",0.069275,2.9099,0.53201,0.0673815776675421,"0.13643","0.13101","0.023954","56.945","21.562","0.19978","0.50149","36.378",0.017219,0.0167483707810524,"1.0652",0.46799,"0.16637","1.065","1.097",1362.9,"0.027345","0.10844","0.97266",0.0300489844914712,"10.316","16.928","59.064",2.19684181285925,"5.9635",1
0.086872,0.61933,0.02964,"1.0735","1.4603",0.3028,0.086872,"0.61464",1.0386,0.38067,0.215547229734759,"0.044432","1600.4","1.6146",0.086872,"0.027327","1.5381","0.84129",0.10661,0.0836433660697092,"0.3028",0.38067,"0.22806","0.3483","0.052245",3.8848,"0.087399","0.027327","48.059","7.5948","0.17214",0.10661,3.1854,0.59697,0.1026477951088,"0.85736","0.12648","0.033537","10.004","8.4656","6.4851","1.0403","1.5974",0.052238,0.0502965530521856,"0.69861",0.40303,"0.13167","0.67098","1.0522",227.33,"0.037132","0.22821","0.96287",0.568208684687524,"237.31","43.116","46.275",2.5769793811875,"5.6033",0
0.0046029,0.52812,0.043685,"1.2884","-18.305",0,0.0066538,"0.89353",1.4128,0.47188,0.0439310709098112,"0.095398","1430.2","1.8935",0.0066538,"0.0047098","26.507","1.1318",0.038914,0.00325799830124575,"0.084999",0.12346,"0.25132","1.2003","0.054276",3.6325,"0.37381","0.0047098","40.239","9.0707","2.6014",0.038942,1.4128,0.84854,0.0275637032842582,"0.029221","0.10539","0.027544","49.273","22.766","0.044863","0.61101","27.259",-0.089208,-0.0631426953567384,"0.36951",0.15146,"0.11024","0.5863","1.0543",187.44,"0.027564","0.009754299999999999","0.99529",0.798211409680427,"13.77","16.033","39.13",9.32787534662617,"1.7553",0
-0.07748,0.45383,0.054872,"1.1798","-14.144",0,-0.07748,"1.2035",1.4194,0.54617,-0.253857999410242,"-0.051413","-2269.9","2.2035",-0.07748,"-0.054588","27.492","0.99492",0,-0.0545864449767507,"0.12525",0.51549,"-0.1608","?","0.085748",4.6892,"0.30018","-0.10894","82.518","4.4233","2.9748",0.0010874,1.4194,0.67452,0.000766098351416091,"0.093661","3.3571","0","85.246","57.754","-0.72473","0.8295","28.904",-0.0045062,-0.00317472171340003,"0.79344",0.30521,"0.22608","0.85351","1.0541",2682.6,"0.048856","-0.14185999999999999","0.95201",0.27211307834557,"13.276","6.3199","78.487",4.6505684610596,"2.218",0
-0.0057739,0.032004,0.18302,"6.7187","95.712",0.061574,-0.003161,"30.155",0.95668,0.96507,-0.0987689038870141,"0.078378","402.6","31.246",-0.003161,"-0.0085387","82.492","1",-0.011261,-0.00603535142367354,"0.0879",0.96507,"0.82498","-0.29101","0.23316",4.5482,"-0.015455","-0.0085387","30.188","12.091","-0.35186",-0.011261,0.39186,0.96507,-0.0117709160847932,"1.3359","0.050307","-0.030419","169.85","87.36","-0.06901","4.1044","78.919",-0.043438,-0.0454049420913994,"6.7187",0.032004,"0.082706","1.2294","1.2294",6466.8,"-0.045285","-0.0059828","1.0453",0.00303190442144083,"4.4247","4.1781","31.555",29.8925134358205,"0.47161",0
0.085367,0.46383,0.31753,"1.8397","40.13",0,0.085367,"1.156",1.2541,0.53617,0.22576098167297,"0.12164","1109.8","2.156",0.085367,"0.068071","33.699","1.3994",0,0.068070329319831,"0.13778",0.53409,"0.32889","0","1.0433",4.6442,"0.29565","0.15145","138.02","2.6445","2.1558",0.011317,1.2541,0.56021,0.00902400127581533,"0.50468","0.23014","0","146.93","113.23","0.7373","1.5335","42.264",-0.067181,-0.0535690933737341,"1.4998",0.37813,"0.37815","1.7617","1.8407",13995,"0.20266","0.15922","0.81452",0.159837365014827,"10.831","3.2236","110.05",3.31658424351414,"4.1207",0
-0.41218,2.3649,-0.2954,"0.4524","-294.87",-1.074,-0.41218,"-0.57715",0.3689,-1.3649,-0.764074520344796,"-0.79249","-2952.6","0.42285",-0.41218,"-1.1173","173.2","0.4609",-0.32108,-1.11732176741664,"-1.3289",-1.3759,"-0.12362","-3.2967","-0.39077",3.6564,"6.4056","-0.894","282.44","1.2923","0.29479",-0.32823,0.3689,0.46034,-0.889753320683112,"0.0078817","-0.3917","-0.87037","237.26","64.068","-2.3547","0.12792","91.649",-0.44091,-1.19520195174844,"0.1032",0.53945,"0.77382","-1.8055","0.60896",-1339,"-0.88976","0.30199000000000004","2.0727",-1.33742398710528,"2.1074","5.6971","533.75",0.68384465659468,"0.48799",0
0.03836,0.38974,0.28534,"1.9692","-8.4639",0.16002,0.051804,"1.5658",2.2331,0.61026,0.175964673913043,"0.043525","1463.6","2.5658",0.051804,"0.023198","53.953","1.0437",0.056778,0.0171779141104294,"0.19875",0.20149,"0.21489","6.0695","0.67896",3.8094,"0.16512","0.026701","49.365","7.3939","5.5851",0.056367,2.2331,0.70459,0.0252415924051767,"0.089548","0.12715","0.025425","90.448","36.495","0.11621","0.84799","55.35",0.011385,0.00509829385159644,"1.4875",0.2944,"0.13525","1.4521","1.6766",1839.9,"0.025241","0.062858","0.97685",0.156228492773572,"6.7651","10.001","48.119",7.58525815217391,"5.3137",0
0.15343,0.41298,0.13754,"1.5817","7.2797",0,0.19018,"1.4214",1.2457,0.58702,0.804347826086956,"0.18203","664.78","2.4214",0.19018,"0.15267","33.125","1.1639",0.21778,0.123167696877258,"0.45098",0.54003,"0.46006","7.8398","0.21971",4.0533,"0.31196","0.17","83.321","4.4125","2.5263",0.20991,1.2457,0.67237,0.168507666372321,"0.12126","0.054124","0.17482","101.18","68.057","1.3572","1.1036","39.55",0.18121,0.145468411334992,"0.9055799999999999",0.23644,"0.22663","0.93771","1.0741",1.5817,"0.16851","0.26137","0.84921",0.300739327450513,"11.019","5.3632","69.28",5.26856707832854,"1.9899",0
0.071099,0.56588,0.020497,"1.0373","-61.146",0,0.090206,"0.76717",1.3646,0.43412,0.164166120695931,"0.12436","1217.1","1.7672",0.090206,"0.066102","59.643","1.1759",0.10825,0.0521024476036934,"0.22086",0.071883,"0.26614","5.7852","0.047663",5.0896,"0.37869","0.0788","157.38","2.3192","2.252",0.090309,1.3646,0.43412,0.0661798329180712,"0.090167","0.10047","0.079324","139.2","79.555","0.31884","0.63148","63.87",0.028747,0.0210662465191265,"1.0072",0.54948,"0.43119","1.0095","1.0095",2519.4,"0.066178","0.16378","0.93514",0.0377775730212845,"6.1197","4.588","146.97",2.48343888767562,"3.1734",0
0.10778,0.19844,0.56509,"3.8476","69.887",0.1373,0.11914,"3.9395",1.141,0.78177,0.600382987300947,"0.19214","413.33","5.0392",0.11914,"0.13063","41.102","1.5477",0.11194,0.0944609991235758,"0.18338",0.78177,"0.8258","1.4004","2.3897",5.4893,"0.085343","0.13063","90.612","4.0282","0.5641",0.11194,0.9344,0.78177,0.0981069237510955,"2.2107","0.038825","0.12274","130","88.896","1.0494","3.3301","46.896",0.055846,0.0489447852760736,"3.8476",0.19844,"0.24825","3.306","3.306",174340,"0.12355","0.13785999999999998","0.87645",0.0253143507681288,"8.8803","4.1059","79.417",5.74984882080226,"3.857",0
-1.0561,1.3261,-0.96874,"0.26808","-232.88",0.006412,-1.0561,"-0.2459",0.91832,-0.32608,-0.797899667573285,"-1.0898","-483.65","0.7541",-1.0561,"-1.15","60.03","0.56942",-1.0325,-1.15003484624096,"-0.64947",-0.92742,"-0.75467","-38.381","-1.5015",3.6117,"1.4299","-1.1224","262.69","1.3895","1.3869",-0.92076,0.91832,-0.32608,-1.00265702587333,"0.03557","-0.045236","-1.1243","122.32","62.289","-6.9924","0.15397","29.975",-1.0878,-1.1845544036937,"0.26758",1.3236,"0.71969","-0.50541","-0.50541",-3962.2,"-1.0026","3.2387","2.1297",-0.00760549558390543,"6.0803","5.8598","526.07",0.693804774856452,"1.4234",0
0.10135,0.51914,-0.049117,"0.87282","-96.303",0,0.12119,"0.9262600000000001",1.1333,0.48086,0.313801139306059,"0.17039","981.27","1.9263",0.12119,"0.10694","75.68","1.062",0.13951,0.0894291008559075,"0.16117",0.21275,"0.33374000000000004","7.1987","-0.074093",3.9227,"0.45268","0.12284","123.9","2.9459","2.1915",-0.0044086,1.1333,0.6138,-0.00389005558987029,"0.018459","0.08185","0.1231","106.27","30.588","0.4313","0.26438","75.387",0.067592,0.0596417541692403,"0.64931",0.3862,"0.33946","0.72537","0.92591",-411.09,"-0.0038901","0.21076","0.90535",0.276463003784886,"4.8229","11.933","124.38",2.93448990160539,"1.7096",0
0.024553,0.036547,0.63121,"18.271","162.65",0,0.031361,"26.362",1.1362,0.96345,0.858100528087121,"0.067648","173.55","27.362",0.031361,"0.0276","46.82","1.243",0.026906,0.0216097518042598,"-0.025658",0.92796,"1.9169","?","1.8998",3.1488,"-0.35189","0.0276","12.009","30.394","30.394",0.025449,1.1362,0.96345,0.0223983453617321,"12.054","0.016824","0.02368","72.992","26.171","0.16846","14.283","47.893",-0.018598,-0.0163685970779792,"18.271",0.036547,"0.032902","2.8998","2.8998",889.23,"0.022397","0.025484","0.97256",3.11380974613559e-06,"7.7958","13.947","11.74",31.0887350534928,"3.4199",0
-1.5034,0.90769,-0.050605,"0.94425","-26.722",-0.86512,-1.5034,"0.10169",10.208,0.092308,-1.65629234650597,"-0.13181","-246.22","1.1017",-1.5034,"-0.14727","20.7","0.78527",-1.1775,-0.147276645768025,"-0.73641",-1.4325,"-1.4824","-3.6139","-0.3541",1.7681,"0.08892","-0.14727","29.1","12.543","12.543",-1.1773,10.208,0.092308,-0.115331112852665,"0.22459","-0.029671","-0.11535","23.357","2.6572","-2.5969","0.30646","18.559",-1.3354,-0.130818965517241,"0.94425",0.90769,"0.079725","0.6459","0.6459",-2.967,"-0.11533","-16.287","1.1473",2.16665944447758e-05,"17.633","137.36","32.456",11.2461302867719,"71.428",0
0.20154,0.46868,0.22748,"1.5528","-15.821",0.55613,0.25328,"1.1336",1.1603,0.53128,0.615519210673407,"0.14065","597","2.1336",0.25328,"0.12432","53.656","1.114",0.28182,0.173696457812635,"0.70121",0.53128,"0.50099","1.6051","0.63011",4.4815,"0.20606","0.12432","85.543","4.2669","0.60129",0.28182,2.0417,0.58847,0.242885460656727,"0.12775","0.048904","0.13833","105.06","51.404","0.67294","0.82501","62.259",0.24855,0.214211841765061,"1.3633",0.41149,"0.23436","1.4716","1.63",6894.4,"0.13818","0.37935","0.86182",0.107720975756663,"6.8026","7.1006","73.722",2.81975260638169,"5.6432",0
-0.01158,0.31393,0.21138,"2.1802","-32.864",-0.012156,-0.014028,"2.1854",0.54819,0.68607,-0.0783205851152923,"0.042741","4890.4","3.1854",-0.014028,"-0.025589","149.6","1.1071",-0.0085752,-0.021124062824933,"0.007866",0.46859,"0.082434","-1.1653","0.3468",5.4187,"0.57266","-0.025589","139.06","2.6509","1.5125",0.078065,0.54819,0.82089,0.142405005563764,"0.14629","0.3623","-0.015643","242.55","92.959","-0.05154","0.92577","172.72",-0.046033,-0.0839727101917219,"1.2439",0.17911,"0.37723","1.1256","1.3468",2.1802,"0.14241","0.0","0.87511",0.196510560146924,"2.4399","3.9265","119.26",3.06063313047848,"0.8994",0
0.18157,0.32736,0.38748,"2.326","45.71",0.51371,0.22563,"1.8456",1.114,0.60417,0.772150165976524,"0.14358","394.7","3.0547",0.22563,"0.10701","25.917","1.0536",0.23359,0.162989228007181,"0.64326",0.60417,"0.79019","1.2342","1.2098",4.2663,"0.14294","0.10701","56.356","6.4767","0.71354",0.23359,2.1457,0.63932,0.209685816876122,"0.11375","0.034641","0.11079","111.91","85.995","1.2128","1.8137","28.872",0.15648,0.140466786355476,"2.0763",0.29221,"0.1544","1.8863","1.996",7154.1,"0.10237","0.30053","0.89763",0.171508019266101,"14.083","4.2444","50.587",3.81232675130899,"6.5826",0
0.050139,0.27812,0.21174,"1.7613","-30.842",0.18089,0.062499,"2.589",1.0156,0.72006,0.224719545519919,"0.093988","906.77","3.5956",0.062499,"0.052471","90.717","0.61557",0.031319,0.0493688460023631,"0.22817",0.72006,"0.35809","0.26705","0.41506",4.7288,"0.16233","0.052471","86.558","4.2168","0.11261",0.031319,1.247,0.72006,0.0308379283182355,"0.34771","0.11321","0.026294","120.48","29.759","0.16937","0.69689","92.136",-0.018133,-0.0178544702638834,"1.7613",0.27812,"0.23715","1.4115","1.4115",11339,"0.015399","0.069632","0.9846",0.00252756714718222,"4.0235","12.265","85.225",3.65166115345894,"2.3349",0
0.072912,0.42105,0.2009,"1.5914","-357.52",0,0.091119,"1.375",1.4526,0.57895,0.268249528968441,"0.096872","1092.2","2.375",0.091119,"0.06273","62.88","1.1696",0.08284,0.0501941346551012,"0.3377",0.57672,"0.29095","15.697","0.43728",5.3469,"0.28308","0.066363","89.307","4.1258","3.3284",0.064282,1.4526,0.63808,0.0442530634723943,"0.043649","0.10598","0.05703","132.11","69.23","0.29137","0.85474","65.174",0.033245,0.0228865482582955,"1.2839",0.33968,"0.24238","1.2602","1.3889",44660,"0.044254","0.12594","0.96844",0.140547542965714,"5.8047","5.2723","85.355",4.27637776731041,"3.1617",0
0.076997,0.41618,8.8955e-05,"1.0003","-8.1893",0.33902,0.076997,"1.4028",1.04,0.58382,0.234125946422599,"0.047585","1448.9","2.4028",0.076997,"0.034946","6.5003","1.1771",0.085445,0.0740355769230769,"0.33902",0.58382,"0.25192","0.40331","0.00013256",4.263,"0.14276","0.034946","56.658","6.4421","0.2053",0.085445,2.2288,0.67113,0.0821586538461539,"0.33464","0.12077","0.03878","36.263","29.763","1.9622","0.88095","6.7603",0.057595,0.0553798076923077,"0.79041",0.32887,"0.15523","0.87001","1.0001",1.63,"0.038461","0.13189","0.96154",0.149549518687267,"56.151","12.264","54.479",3.16234378325782,"3.2835",0
0.28285,0.45484,0.10405,"1.2288","-13.079",0.76873,0.35073,"1.0248",1.171,0.46614,0.77110632310263,"0.15474","412.34","2.1986",0.35073,"0.13479","24.449","1.0085",0.35395,0.241545687446627,"0.95339",0.46614,"0.73596","1.593","0.23588",5.7554,"0.12007","0.13479","74.717","4.8851","0.77819",0.35395,2.6143,0.46614,0.302263023057216,"0.33201","0.036846","0.13603","57.216","32.767","1.6228","0.84556","28.631",0.30206,0.257950469684031,"1.2288",0.45484,"0.2047","1.0567","1.0567",59242,"0.14606","0.6068","0.85394",0.169519886729309,"14.929","11.139","63.804",2.57453170345616,"5.8987",0
0.0070978,0.6794,0.066142,"1.1893","-30.967",-0.16655,0.0070978,"0.47188",1.4532,0.3206,0.0203194869886347,"0.025128","6791","1.4719",0.0070978,"0.0048842","42.491","1.4868",0.030641,0.00488425543627856,"-0.13241",-0.12898,"0.053747","1.0209","0.11315",3.8883,"0.43944","0.025539","90.061","4.0528","2.0838",0.037493,1.4532,0.62671,0.0258003027800716,"0.16325","0.37707","0.021085","90.027","47.536","0.041956","0.70505","43.616",0.0012226,0.00084131571703826,"0.6115",0.34931,"0.24674","0.54846","1.0721",511.4,"0.025801","0.022139","0.99527",1.02960074859638,"8.5901","7.6784","87.737",4.16020154017921,"2.486",0
0.0060674,0.78822,0.18007,"1.2284","-48327",0,0.0060674,"0.26867",5.3858,0.21178,0.00769759711755601,"0.00403","13255","1.2687",0.0060674,"0.0011265","2.5855","1.2982",-0.0094221,0.00112655501503955,"0.06886",0.047711,"0.027536","-5.627","5.679",3.6951,"0.14517","0.0013149","53.354","6.852","6.852",-0.0065052,5.3858,0.21178,-0.00120784284600245,"0.019495","4.2274","-0.0017494","64.581","61.995","0.15903","1.18","2.5783",-0.025059,-0.0046527906717665,"1.2284",0.78822,"0.14594","6.679","6.679",892.36,"-0.0012079","0.02865","1.0031",-4.16786577403925e-16,"141.17","5.8876","53.419",6.83286392124026,"169.86",0
0.15014,0.26416,0.1524,"1.6247","-8.0914",0.41795,0.18655,"2.688",1.1479,0.71008,0.764643193835308,"0.17513","389.95","3.7855",0.18655,"0.13213","45.455","1.1031",0.18136,0.130795365449952,"0.52398",0.71008,"0.7982","1.4745","0.25247",4.7711,"0.13664","0.13213","72.399","5.0415","0.68654",0.18136,1.4302,0.73027,0.157992856520603,"0.30376","0.035877","0.12845","83.313","37.858","0.85392","0.90399","52.176",0.12064,0.105096262740657,"1.5005",0.24397,"0.19835","1.1763","1.2098",8996.9,"0.12883","0.21144000000000002","0.87117",0.0647110184767913,"8.03","9.6413","63.072",4.7050866909866,"2.339",0
0.028192,0.95573,0.42135,"2.1431","12.535",-0.16721,0.036272,"0.046319",2.5636,0.044269,0.0984047748236571,"0.05741","2370.2","1.0463",0.036272,"0.014149","47.81","1.1067",0.088676,0.0109970354189421,"-0.11387",-0.10533,"0.14554","1.6272","2.006",3.5406,"0.3561","0.026637","54.483","6.6994","2.5838",0.094173,2.5636,0.62167,0.0367346699953191,"0.12556","0.15962","0.034591","105.88","58.073","0.083956","1.2321","49.633",-0.022228,-0.00867061944141052,"0.82654",0.3686,"0.14927","0.21075","2.9597",1463.1,"0.036735","0.63683","0.98609",13.2628024125234,"7.6344","6.2852","52.481",6.95496473141617,"12.205",0
-0.14126,0.77697,-0.05618,"0.92769","-50.295",0,-0.14126,"0.28679",2.5056,0.22283,-0.181808821447418,"-0.044605","-2537.4","1.2871",-0.14126,"-0.056379","43.332","0.94292",-0.13066,-0.0563777139208174,"-0.14467",0.19474,"-0.14385","-10.425","-0.20121",3.2504,"0.30928","-0.051713","107.15","3.4356","3.4356",-0.14127,2.5409,0.22283,-0.0563817049808429,"0.022119","-0.25601","-0.052148","102.5","59.164","-0.4749","0.40497","40.674",-0.16016,-0.0639208173690932,"0.92769",0.77697,"0.29107","0.79805","0.79805",-100,"-0.056278","-0.63397","1.0506",0.000897545213839887,"8.4234","6.1693","113.18",3.2248349357118,"8.9738",1
0.14707,0.25299,0.69602,"3.7511","131.86",0.21548,0.18342,"2.1033",1.1345,0.53213,0.725008893632159,"0.10472","501.09","3.9527",0.18342,"0.10422","26.577","0.84045",0.18062,0.129634200088145,"0.27976",0.53213,"0.58474","1.1643","13.653",4.7621,"-0.098547","0.10422","59.528","6.1315","0.71391",0.18062,1.7684,0.53213,0.159206698986338,"1.6856","0.045832","0.10263","108.38","81.808","1.1477","3.2447","30.15",0.17975,0.158439841339797,"3.7511",0.25299,"0.16309","10.438","10.438",40249,"0.11853","0.27638","0.88147",0.403811098791649,"13.734","4.4617","52.473",4.48436697102652,"34.519",0
0.030909,0.35245,0.43218,"3.0655","19.333",0.61259,0.030909,"1.8373",1.642,0.64755,0.147720321162302,"0.037071","2113.4","2.8373",0.030909,"0.018824","75.097","0.76069",0.044907,0.0188239951278928,"0.24078",0.64349,"0.17271","3.1518","1.2052",3.3915,"0.16643","0.02543","47.632","7.663","4.5494",0.038599,1.642,0.79,0.0235073081607795,"0.4254","0.15692","0.027349","122.79","47.697","0.091493","1.4509","76.905",0.014945,0.00910170523751522,"1.8199",0.20924,"0.1305","1.8059","2.2031",1064.4,"0.023507","0.047732","0.98142",0.221156667438808,"4.8604","7.6524","46.512",7.84744790671,"4.5791",0
